px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.09504	-6.10374	-2.61048	2.34291	0.398382	8.03808	-6.28852	8	-6.25	1.00004	-2.00008	4.31857
8.14986	-6.23981	-2.61788	2.32085	0.356242	8.04346	-6.35767	8.05	-6.35	1.00004	-2.00008	6.90261e-310
8.26023	-6.36344	-2.74737	2.33864	0.361407	8.1071	-6.48544	8.15	-6.5	1.99951	-2.99928	6.07628
8.32508	-6.51069	-2.76568	2.31453	0.319133	8.25742	-6.66007	8.25	-6.65	1.9995	-2.99925	6.90261e-310
8.38684	-6.60901	-2.61015	2.31105	0.29172	8.38768	-6.7963	8.3	-6.75	0.90921	-1.81841	9.03307
8.44364	-6.75886	-2.61685	2.28282	0.247699	8.33159	-6.8699	8.35	-6.85	0.90921	-1.81841	6.90261e-310
8.53686	-6.87704	-2.66575	2.29012	0.244151	8.58336	-7.15056	8.4	-7	1.0001	-3.00036	1.26133
8.58023	-7.02646	-2.67507	2.25337	0.195743	8.45779	-7.15285	8.45	-7.15	1.00011	-3.00036	6.90261e-310
8.66027	-7.1369	-2.70293	2.25892	0.193349	8.37938	-7.10665	8.55	-7.25	1.99907	-1.99908	1.32068
8.71954	-7.27026	-2.70945	2.23954	0.164692	8.647	-7.3454	8.65	-7.35	1.99908	-1.99908	6.90261e-310
8.80768	-7.39063	-2.7492	2.24419	0.162821	8.76035	-7.57239	8.7	-7.5	1.00058	-3.00174	0.71593
8.85578	-7.54207	-2.76295	2.21016	0.12126	8.76121	-7.66039	8.75	-7.65	1.00057	-3.00171	6.90261e-310
8.90232	-7.64419	-2.65038	2.19433	0.0931717	8.81118	-7.75569	8.8	-7.75	0.999844	-1.99968	4.8073
8.9461	-7.77905	-2.65235	2.16751	0.0621702	8.84363	-7.83628	8.85	-7.85	0.999844	-1.99968	6.90261e-310
9.06464	-7.91882	-2.82776	2.1912	0.093022	9.07758	-8.1058	8.95	-8	2.00017	-3.00024	10.4419
9.11869	-8.06701	-2.84164	2.16468	0.0624085	9.05238	-8.15838	9.05	-8.15	2.00014	-3.00021	6.90261e-310
9.16387	-8.17412	-2.73552	2.14661	0.0346857	9.05557	-8.22632	9.1	-8.25	0.998905	-1.99781	4.17871
9.21636	-8.30804	-2.74037	2.1274	0.0140915	9.15492	-8.35136	9.15	-8.35	0.998886	-1.99779	6.90261e-310
9.28565	-8.43715	-2.71066	2.11924	0.00281861	9.30408	-8.57245	9.2	-8.5	0.908863	-2.72657	0.642114
9.33363	-8.58966	-2.71816	2.09163	-0.0243636	9.2543	-8.64461	9.25	-8.65	0.908855	-2.72655	6.90261e-310
9.3891	-8.71515	-2.68341	2.07933	-0.0372167	9.15971	-8.67035	9.3	-8.8	0.909475	-2.72841	0.833745
9.42836	-8.87554	-2.69791	2.04561	-0.0680229	9.35164	-8.95148	9.35	-8.95	0.909466	-2.72839	6.90261e-310
9.51024	-9.01306	-2.78304	2.05374	-0.0499692	9.47941	-9.179	9.4	-9.1	0.999765	-2.99935	2.39513
9.53768	-9.16831	-2.79731	2.01705	-0.0831835	9.44272	-9.24111	9.45	-9.25	0.999774	-2.99934	6.90261e-310
9.56418	-9.2954	-2.6792	1.98213	-0.124438	9.53008	-9.38561	9.5	-9.35	0.908962	-1.81792	5.45145
9.61111	-9.43527	-2.67861	1.96679	-0.132722	9.5752	-9.43724	9.55	-9.45	0.908954	-1.8179	6.90261e-310
9.66086	-9.5713	-2.6684	1.95446	-0.138738	9.60163	-9.60777	9.6	-9.6	0.909988	-2.72996	0.0759161
9.69155	-9.72382	-2.67638	1.92684	-0.158072	9.62903	-9.75552	9.65	-9.75	0.909971	-2.72993	6.90261e-310
9.75002	-9.86801	-2.71037	1.92468	-0.147912	9.69155	-9.89958	9.7	-9.9	0.907972	-2.7239	0.440742
9.78494	-10.0201	-2.718	1.9027	-0.161237	9.74482	-10.046	9.75	-10.05	0.907972	-2.72391	6.90261e-310
9.80236	-10.1492	-2.63708	1.86954	-0.194201	9.69256	-10.1336	9.75	-10.2	0	-2.73106	2.41891
9.81785	-10.3072	-2.65083	1.83651	-0.215682	9.75264	-10.3488	9.75	-10.35	0	-2.73105	6.90261e-310
9.88489	-10.4522	-2.75533	1.85593	-0.172001	9.82419	-10.5024	9.8	-10.5	1	-2.99999	4.45841
9.89694	-10.6045	-2.77173	1.82517	-0.193256	9.83234	-10.6514	9.85	-10.65	0.999994	-2.99996	6.90261e-310
9.92212	-10.737	-2.75811	1.80836	-0.202133	9.825	-10.7525	9.85	-10.8	0	-3.00047	0.150428
9.92334	-10.8962	-2.78127	1.77215	-0.227204	9.85033	-10.9603	9.85	-10.95	0	-3.00048	6.90261e-310
9.89784	-11.0161	-2.6497	1.70775	-0.302184	9.91881	-11.1448	9.85	-11.05	0	-1.9956	9.7904
9.9019	-11.1516	-2.652	1.68332	-0.311134	9.86057	-11.1502	9.85	-11.15	0	-1.99559	6.90261e-310
9.9053	-11.2923	-2.63053	1.65548	-0.325573	9.83851	-11.2795	9.85	-11.3	0	-2.73184	0.283375
9.89668	-11.4435	-2.63728	1.62338	-0.339193	9.83839	-11.4483	9.85	-11.45	0	-2.73182	6.90261e-310
9.89002	-11.5725	-2.61871	1.59451	-0.354781	9.79654	-11.5922	9.8	-11.6	-0.998566	-2.9957	0.288513
9.85686	-11.7205	-2.63886	1.55061	-0.379512	9.75592	-11.7487	9.75	-11.75	-0.998566	-2.99569	6.90261e-310
9.85896	-11.8703	-2.66031	1.53845	-0.36623	9.77699	-11.9246	9.75	-11.9	0	-2.73084	0.31211
9.82788	-12.0281	-2.67678	1.50021	-0.383225	9.75861	-12.0491	9.75	-12.05	0	-2.73085	6.90261e-310
9.76228	-12.1564	-2.58698	1.41964	-0.465164	9.63743	-12.1863	9.65	-12.2	-1.81598	-2.72396	6.46589
9.69348	-12.3161	-2.61793	1.36188	-0.495032	9.56514	-12.3446	9.55	-12.35	-1.81597	-2.72396	6.90261e-310
9.5706	-12.4287	-2.49787	1.22739	-0.64385	9.47157	-12.4849	9.45	-12.45	-1.82132	-1.82133	17.6257
9.48029	-12.5632	-2.51646	1.16391	-0.669772	9.34752	-12.5408	9.35	-12.55	-1.82131	-1.82131	6.90261e-310
9.39967	-12.6844	-2.50172	1.09936	-0.70738	9.32154	-12.7193	9.3	-12.65	-0.908038	-1.81606	0.898846
9.31544	-12.7983	-2.49907	1.04733	-0.71964	9.24151	-12.7411	9.25	-12.75	-0.908029	-1.81605	6.90261e-310
9.13404	-12.8754	-2.43067	0.865606	-0.916779	9.04013	-12.7738	9.05	-12.85	-3.64007	-1.82004	23.98
8.99789	-12.9778	-2.46166	0.785578	-0.94271	8.83995	-12.9425	8.85	-12.95	-3.64007	-1.82003	6.90261e-310
